IBOVESPA - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;113.228,31;;121.570,15;;;;;;;;
2;;111.894,36;115.173,61;;106.638,64;;;;;;;
3;103.921,59;111.695,94;115.165,55;;106.528,09;;;;;;;
4;103.513,64;112.244,94;114.473,78;121.279,51;108.343,74;;;;;;;
5;101.005,64;;;118.885,15;;;;;;;;
6;101.561,05;;;118.227,75;;;;;;;;
7;102.719,47;111.996,40;111.593,46;118.862,12;;;;;;;;
8;;112.234,46;111.203,45;118.322,26;;;;;;;;
9;;112.461,39;113.900,34;;;;;;;;;
10;101.945,20;113.367,77;113.663,13;;;;;;;;;
11;103.778,98;113.572,35;111.713,07;116.952,85;;;;;;;;
12;105.685,66;;;116.146,86;;;;;;;;
13;105.529,50;;;116.781,96;;;;;;;;
14;106.927,79;113.899,19;109.927,62;116.181,61;;;;;;;;
15;;114.828,18;108.959,30;;;;;;;;;
16;;115.180,95;111.112,43;;;;;;;;;
17;106.373,87;113.528,48;113.076,33;;;;;;;;;
18;106.667,66;112.879,85;115.310,91;115.687,25;;;;;;;;
19;108.013,47;;;115.056,66;;;;;;;;
20;109.101,99;;;114.343,78;;;;;;;;
21;108.941,68;111.725,30;116.154,53;;;;;;;;;
22;;112.891,80;117.272,44;111.077,51;;;;;;;;
23;;112.007,61;117.457,34;;;;;;;;;
24;107.937,11;111.591,87;119.052,91;;;;;;;;;
25;110.203,77;113.141,94;119.081,13;110.684,95;;;;;;;;
26;111.289,18;;;108.212,86;;;;;;;;
27;112.611,65;;;109.349,37;;;;;;;;
28;111.910,10;;118.737,78;109.918,97;;;;;;;;
29;;;120.014,17;107.876,16;;;;;;;;
30;;;120.259,76;;;;;;;;;
31;112.143,51;;119.999,23;;;;;;;;;
MÍNIMO;101.005,64;111.591,87;108.959,30;107.876,16;106.528,09;;;;;;;
MÍNIMO;112.611,65;115.180,95;120.259,76;121.570,15;108.343,74;;;;;;;
